date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:54	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2023%20Apr%202022%2010:45:54%20GMT	https://aisw.kangwon.ac.kr/	F:/JSP_Project2/aisw.kangwon.ac.kr/index.html	(from )
19:45:54	0/0	---M--	200	added ('OK')	text/plain	etag:W/%220-1639556639000%22	https://aisw.kangwon.ac.kr/robots.txt		(from )
19:45:54	268/268	---MC-	302	error ('Found')	text/html	date:Sat,%2023%20Apr%202022%2010:45:54%20GMT	https://aisw.kangwon.ac.kr/index.do	F:/JSP_Project2/aisw.kangwon.ac.kr/index.do	(from https://aisw.kangwon.ac.kr/)
19:45:55	49163/49163	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:45:54%20GMT	https://aisw.kangwon.ac.kr/aisw/index.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/index.html	(from https://aisw.kangwon.ac.kr/)
19:45:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Apr%202022%2010:45:55%20GMT	http://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css	F:/JSP_Project2/cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.2.delayed	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:45:57	36216/36216	---M-Z	200	added ('OK')	text/css	etag:W/%228d78-PbmlkAY03FYSFMaA5teYyx8nbiI%22	https://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css	F:/JSP_Project2/cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:45:57	5230/5230	---M--	200	added ('OK')	text/css	etag:W/%225230-1635505571000%22	https://aisw.kangwon.ac.kr/_res/_common/css/cms.css	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/_common/css/cms.css	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:45:57	19798/19798	---M--	200	added ('OK')	text/css	etag:W/%2219798-1607913460000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/css/swiper.min.css	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/_share/css/swiper.min.css	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:45:57	3480/3480	---M--	200	added ('OK')	text/css	etag:W/%223480-1606350655000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/css/scroll.css	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/_share/css/scroll.css	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:45:57	2616/2616	---M--	200	added ('OK')	text/css	etag:W/%222616-1645507556000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/css/cms-common.css?07556	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/_share/css/cms-commoneb48.css	(from https://aisw.kangwon.ac.kr/aisw/index.do)
